dataset,method,probe_depth,recall_at_10,avg_computations,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,train_s,n_runs
deep1m,BLISS,5,0.82965,22542.5016,67.43795988282437,337.8179683685303,337.8179683685303,337.8179683685303,29.8515625,1547.5236154571176,1
deep1m,BLISS,10,0.9221900000000002,46716.106,33.951966773937855,337.8179683685303,337.8179683685303,337.8179683685303,42.9453125,1547.5236154571176,1
deep1m,BLISS,20,0.96867,92882.3446,19.186933816660748,337.8179683685303,337.8179683685303,337.8179683685303,51.859375,1547.5236154571176,1
deep1m,BLISS,40,0.98868,174588.5637,11.33117227362776,337.8179683685303,337.8179683685303,337.8179683685303,49.26953125,1547.5236154571176,1
deep1m,BLISS-KMeans,5,0.7925700000000001,23603.5743,64.21122533401785,337.8179683685303,337.8179683685303,337.8179683685303,28.21484375,1604.836915249005,1
deep1m,BLISS-KMeans,10,0.8960899999999999,46850.4052,37.63418194480341,337.8179683685303,337.8179683685303,337.8179683685303,46.60546875,1604.836915249005,1
deep1m,BLISS-KMeans,20,0.95561,91020.8357,21.404743136253227,337.8179683685303,337.8179683685303,337.8179683685303,51.0625,1604.836915249005,1
deep1m,BLISS-KMeans,40,0.98308,170725.5214,12.00238156009719,337.8179683685303,337.8179683685303,337.8179683685303,49.40234375,1604.836915249005,1
deep1m,MLP-IVF,5,0.7989400000000001,27268.9417,57.10902029432256,337.8179683685303,337.8179683685303,337.8179683685303,28.55859375,1556.7618769854307,1
deep1m,MLP-IVF,10,0.9001100000000002,54179.789,33.24402436419598,337.8179683685303,337.8179683685303,337.8179683685303,45.03515625,1556.7618769854307,1
deep1m,MLP-IVF,20,0.95688,105209.3729,18.238822902924905,337.8179683685303,337.8179683685303,337.8179683685303,45.546875,1556.7618769854307,1
deep1m,MLP-IVF,40,0.98324,197013.3778,10.864809590550106,337.8179683685303,337.8179683685303,337.8179683685303,48.96484375,1556.7618769854307,1
gist,BLISS,5,0.6757000000000001,16933.843,22.11290857615764,46.07431602478027,46.07431602478027,46.07431602478027,38.9375,2025.4238698538395,1
gist,BLISS,10,0.8342,34973.306,13.098324374899432,46.07431602478027,46.07431602478027,46.07431602478027,37.46875,2025.4238698538395,1
gist,BLISS,20,0.9368,71661.048,9.534120794247428,46.07431602478027,46.07431602478027,46.07431602478027,24.9453125,2025.4238698538395,1
gist,BLISS,40,0.9879,144071.5,6.486029971951866,46.07431602478027,46.07431602478027,46.07431602478027,29.33203125,2025.4238698538395,1
gist,BLISS-KMeans,5,0.5917,17532.52,21.596529018092227,46.07431602478027,46.07431602478027,46.07431602478027,38.734375,2060.956649079919,1
gist,BLISS-KMeans,10,0.7561,35394.315,13.584236702037783,46.07431602478027,46.07431602478027,46.07431602478027,35.171875,2060.956649079919,1
gist,BLISS-KMeans,20,0.8786,71358.328,9.70870947220955,46.07431602478027,46.07431602478027,46.07431602478027,21.6640625,2060.956649079919,1
gist,BLISS-KMeans,40,0.9522,142255.048,6.825771834322955,46.07431602478027,46.07431602478027,46.07431602478027,32.96484375,2060.956649079919,1
gist,MLP-IVF,5,0.6059,17789.475,20.875986500003272,46.07431602478027,46.07431602478027,46.07431602478027,37.61328125,2045.626639187336,1
gist,MLP-IVF,10,0.7517999999999999,35844.729,13.382088034932352,46.07431602478027,46.07431602478027,46.07431602478027,38.52734375,2045.626639187336,1
gist,MLP-IVF,20,0.8606,72201.8,9.675559886268834,46.07431602478027,46.07431602478027,46.07431602478027,22.453125,2045.626639187336,1
