dataset,method,probe_depth,recall_at_10,avg_computations,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,train_s,threshold,nprobe,selected_part,n_runs
glove,AdaptIVF+PQ,10.0,0.6916,21445.201,7.464637428208306,37.48837089538574,37.48837089538574,37.48837089538574,10.22265625,322.6825122963637,nan,nan,nan,1
glove,AdaptIVF+PQ-m80,10.0,0.8006,54322.774,5.652335501983553,37.51215171813965,37.51215171813965,37.51215171813965,15.21484375,327.23407011665404,nan,nan,nan,1
glove,AdaptIVF-m80,10.0,0.9127,53773.26,47.93813233783351,19.292707443237305,19.292707443237305,19.292707443237305,38.21875,320.73484151624143,nan,nan,nan,1
glove,BLISS,10.0,0.814,30123.91,23.508363834757063,44.95596885681152,44.95596885681152,44.95596885681152,24.0703125,1726.9692732635883,nan,nan,nan,1
glove,HNSW,nan,0.8967999999999999,4866.72,33648.711483487794,758.6481781005859,758.6481781005859,758.6481781005859,824.50390625,nan,nan,10.0,nan,1
glove,IVF,nan,0.7494000000000001,12340.548,40545.62857587791,460.9030113220215,460.9030113220215,460.9030113220215,461.5390625,nan,nan,10.0,nan,1
glove,IVFPQ,nan,0.3785,12329.263,128205.652148164,27.64353370666504,27.64353370666504,27.64353370666504,45.03515625,nan,nan,10.0,nan,1
glove,LIRA,10.0,0.8745999999999976,819.606,279.32952405832043,1531.3048210144043,1531.3048210144043,1531.3048210144043,24.95703125,22874.030454328284,0.5999999046325684,9.948,1.0,1
glove,MLP-IVF,10.0,0.8219000000000001,25061.54,48.27319233348223,44.95596885681152,44.95596885681152,44.95596885681152,21.85546875,1748.5075879953802,nan,nan,nan,1
glove,MLP-IVFPQ,10.0,0.7582000000000001,25242.796,7.55907070755116,63.12457847595215,63.12457847595215,63.12457847595215,7.6796875,1276.263052975759,nan,nan,nan,1
sift,AdaptIVF,10.0,0.82457,17451.4078,100.83249559336475,15.751691818237305,15.751691818237305,15.751691818237305,16.9765625,329.4186824671924,nan,nan,nan,1
