dataset,method,seed,index_kind,recall_at_10,avg_computations,avg_computations_mode,avg_candidates,avg_candidates_mode,computation_min,computation_max,qps,index_overhead_mb,index_overhead_mode,serving_footprint_mb,serving_footprint_mode,index_size_mb,index_size_mode,query_mem_delta_mb,query_mem_delta_mode,build_total_s,faiss_query_prep_s,faiss_search_s,faiss_total_query_s,queries_evaluated,k,nprobe,hnsw_ef_search,hnsw_ndis_total,experiment_dir,query_mem_rss_before_mb,query_mem_rss_after_mb,query_mem_peak_rss_mb,query_mem_delta_mb_isolated,query_mem_peak_delta_mb,probe_depth,train_s,threshold,selected_part
glove,IVF,0,ivf,0.7494000000000001,12340.548,avg_unique_candidate_vectors_per_query,12340.548,avg_unique_candidate_vectors_per_query,7230.0,20566.0,56371.86319364695,460.9030113220215,index_overhead_manifest,460.9030113220215,serving_footprint_manifest,460.9030113220215,index_overhead_manifest,461.53515625,isolated_subprocess_rss_delta,29.188185872510076,7.810071110725403e-06,0.01773153617978096,0.017739346250891685,1000,10,10,,,/data/experiments/git_repos/experiments/adaptivf/glove/20260327-125652-897217_ivf_seed0,711.00390625,1172.5390625,2454.265625,461.53515625,1743.26171875,,,,
glove,MLP-IVF,0,,0.8217000000000001,25001.612,avg_unique_candidate_vectors_per_query,25001.612,avg_unique_candidate_vectors_per_query,6494.0,46080.0,54.95910313228209,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,21.61328125,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/glove/20260327-125731-199512_mlp_ivf_seed0,2007.64453125,2029.2578125,4319.32421875,21.61328125,2311.6796875,10,1267.0943038798869,,
glove,BLISS,0,,0.798,30561.922,avg_unique_candidate_vectors_per_query,30561.922,avg_unique_candidate_vectors_per_query,2516.0,46080.0,41.518228531417826,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,23.53515625,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/glove/20260327-132040-215273_bliss_seed0,2002.578125,2026.11328125,4319.32421875,23.53515625,2316.74609375,10,1282.820043457672,,
glove,LIRA,0,,0.8732999999999976,817.148,avg_unique_candidate_vectors_per_query,817.148,avg_unique_candidate_vectors_per_query,0.0,2360.0,359.9615586623469,1531.30619430542,index_overhead_manifest,1531.30619430542,serving_footprint_manifest,1531.30619430542,index_overhead_manifest,24.01953125,isolated_subprocess_rss_delta,,,,,,,9.926,,,/data/experiments/git_repos/experiments/adaptivf/glove/20260327-134346-777997_lira_seed0,,,,,,10,46116.6558855325,0.5999999046325684,1
glove,AdaptIVF,0,,0.9142,52352.102,avg_unique_candidate_vectors_per_query,52352.102,avg_unique_candidate_vectors_per_query,2984.0,167650.0,49.197600039048716,19.322019577026367,index_overhead_manifest,19.322019577026367,serving_footprint_manifest,19.322019577026367,index_overhead_manifest,35.53515625,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/glove/20260328-023230-465921_adaptivf_seed0,1957.00390625,1992.5390625,32448.22265625,35.53515625,30491.21875,10,312.1403280738741,,
glove,IVFPQ,0,ivfpq,0.3785,12329.263,avg_unique_candidate_vectors_per_query,12329.263,avg_unique_candidate_vectors_per_query,6598.0,20481.0,94350.12841380914,27.64353084564209,index_overhead_manifest,27.64353084564209,serving_footprint_manifest,27.64353084564209,index_overhead_manifest,46.0,isolated_subprocess_rss_delta,38.69238573126495,6.278976798057556e-06,0.010592540726065636,0.010598819702863693,1000,10,10,,,/data/experiments/git_repos/experiments/adaptivf/glove/20260328-023921-516249_ivfpq_seed0,706.26953125,752.26953125,32448.22265625,46.0,31741.953125,,,,
glove,MLP-IVFPQ,0,,0.7597,25007.469,avg_unique_candidate_vectors_per_query,25007.469,avg_unique_candidate_vectors_per_query,5233.0,46080.0,5.997033178616069,63.12457847595215,index_overhead_manifest,63.12457847595215,serving_footprint_manifest,63.12457847595215,index_overhead_manifest,8.0859375,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/glove/20260328-024010-092793_mlp_ivfpq_seed0,2025.8984375,2033.984375,32448.22265625,8.0859375,30422.32421875,10,1231.5838466268033,,
glove,AdaptIVF+PQ,0,,0.8102,54696.8,avg_unique_candidate_vectors_per_query,54696.8,avg_unique_candidate_vectors_per_query,2542.0,176845.0,4.505206541128376,37.48465538024902,index_overhead_manifest,37.48465538024902,serving_footprint_manifest,37.48465538024902,index_overhead_manifest,13.38671875,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/glove/20260328-030916-794259_adaptivfppq_seed0,1974.609375,1987.99609375,32448.22265625,13.38671875,30473.61328125,10,310.81236701644957,,
sift,HNSW,0,hnsw,0.9957300000000001,3009.6823,avg_distance_computations_per_query,3009.6823,avg_distance_computations_per_query,3009.6823,3009.6823,45558.25171000355,747.8043441772461,index_overhead_manifest,747.8043441772461,serving_footprint_manifest,747.8043441772461,index_overhead_manifest,802.0,isolated_subprocess_rss_delta,23.166602382436395,7.949955761432648e-05,0.21941970475018024,0.21949920430779457,10000,10,10,128,30096823.0,/data/experiments/git_repos/experiments/adaptivf/sift/20260328-032421-909513_hnsw_seed0,711.171875,1513.171875,2024.89453125,802.0,1313.72265625,,,,
sift,IVF,0,ivf,0.8745800000000001,10756.3318,avg_unique_candidate_vectors_per_query,10756.3318,avg_unique_candidate_vectors_per_query,5266.0,18956.0,55243.652938285,496.41877460479736,index_overhead_manifest,496.41877460479736,serving_footprint_manifest,496.41877460479736,index_overhead_manifest,516.58984375,isolated_subprocess_rss_delta,34.841155061498284,3.8333237171173096e-06,0.18101243674755096,0.18101627007126808,10000,10,10,,,/data/experiments/git_repos/experiments/adaptivf/sift/20260328-032448-952352_ivf_seed0,712.0234375,1228.61328125,2115.91015625,516.58984375,1403.88671875,,,,
sift,MLP-IVF,0,,0.92725,20176.493,avg_unique_candidate_vectors_per_query,20176.493,avg_unique_candidate_vectors_per_query,3187.0,38912.0,75.50967112053858,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,25.3125,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/sift/20260328-032533-312085_mlp_ivf_seed0,2145.12109375,2170.43359375,4626.359375,25.3125,2481.23828125,10,1281.7710468638688,,
sift,BLISS,0,,0.702,38747.2281,avg_unique_candidate_vectors_per_query,38747.2281,avg_unique_candidate_vectors_per_query,1783.0,38912.0,16.014703146199622,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,32.94921875,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/sift/20260328-035234-902754_bliss_seed0,2138.57421875,2171.5234375,4626.359375,32.94921875,2487.78515625,10,1283.9737187866122,,
sift,LIRA,0,,0.971679999999979,813.1467,avg_unique_candidate_vectors_per_query,813.1467,avg_unique_candidate_vectors_per_query,100.0,2484.0,466.17532572404286,1509.3666038513184,index_overhead_manifest,1509.3666038513184,serving_footprint_manifest,1509.3666038513184,index_overhead_manifest,185.78125,isolated_subprocess_rss_delta,,,,,,,10.1278,,,/data/experiments/git_repos/experiments/adaptivf/sift/20260328-043525-547947_lira_seed0,,,,,,10,49528.127115897834,0.7399998903274536,1
sift,AdaptIVF,0,,0.9566399999999999,33805.4421,avg_unique_candidate_vectors_per_query,33805.4421,avg_unique_candidate_vectors_per_query,2755.0,99129.0,64.32835303432714,15.733251571655273,index_overhead_manifest,15.733251571655273,serving_footprint_manifest,15.733251571655273,index_overhead_manifest,43.0390625,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/sift/20260328-182119-228847_adaptivf_seed0,2093.23046875,2136.26953125,28814.87890625,43.0390625,26721.6484375,10,318.85723266378045,,
sift,IVFPQ,0,ivfpq,0.54615,10756.3318,avg_unique_candidate_vectors_per_query,10756.3318,avg_unique_candidate_vectors_per_query,5266.0,18956.0,245128.59264228286,23.521355628967285,index_overhead_manifest,23.521355628967285,serving_footprint_manifest,23.521355628967285,index_overhead_manifest,59.53515625,isolated_subprocess_rss_delta,38.950552036985755,5.3960829973220825e-06,0.040789518505334854,0.040794914588332176,10000,10,10,,,/data/experiments/git_repos/experiments/adaptivf/sift/20260328-183217-052287_ivfpq_seed0,711.53515625,771.0703125,28814.87890625,59.53515625,28103.34375,,,,
sift,MLP-IVFPQ,0,,0.9270200000000001,20075.634,avg_unique_candidate_vectors_per_query,20075.634,avg_unique_candidate_vectors_per_query,2924.0,38912.0,13.128240281242684,54.95834922790527,index_overhead_manifest,54.95834922790527,serving_footprint_manifest,54.95834922790527,index_overhead_manifest,8.32421875,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/sift/20260328-183305-310142_mlp_ivfpq_seed0,2159.375,2167.69921875,28814.87890625,8.32421875,26655.50390625,10,1293.060469519347,,
sift,AdaptIVF+PQ,0,,0.95326,29952.6876,avg_unique_candidate_vectors_per_query,29952.6876,avg_unique_candidate_vectors_per_query,2398.0,80415.0,11.4092063655299,31.150312423706055,index_overhead_manifest,31.150312423706055,serving_footprint_manifest,31.150312423706055,index_overhead_manifest,11.4375,isolated_subprocess_rss_delta,,,,,,,,,,/data/experiments/git_repos/experiments/adaptivf/sift/20260328-192306-813199_adaptivfppq_seed0,2108.22265625,2119.66015625,28814.87890625,11.4375,26706.65625,10,317.2194026373327,,
