method,recall_weight,compute_weight,storage_weight,plot_x,plot_y
AdaptIVF,0.4255741458289651,0.02079150154929751,0.5536343526217374,0.76642142553622,0.36855802148174704
AdaptIVF+PQ,0.5670885960620962,0.029702197827873405,0.40320920611003047,0.6867535041410786,0.4911131303862272
AdaptIVF+PQ-m80,0.6236577897917919,0.010214361280931556,0.36612784892727657,0.6779567438231725,0.5401034892277471
AdaptIVF-m80,0.49220542205237205,0.007336386446280922,0.5004581915013471,0.746560902527533,0.42626239937779553
BLISS,0.6637827604890084,0.01745753303855754,0.318759706472434,0.6506510867169382,0.5748527331776428
HNSW,0.8050472298679998,0.17971507436789452,0.015237695764105745,0.4177613106981056,0.6971913523119783
IVF,0.9052177674684266,0.0633460535555663,0.03143617897600712,0.4840450627102204,0.7839415825846923
IVFPQ,0.3472417494433493,0.05236479401890815,0.6003934565377425,0.7740143312594171,0.3007201762724914
LIRA,0.4899372972322278,0.5053517409612874,0.004710961806484752,0.24967961042259865,0.42429814566459656
