dataset,method,probe_depth,recall_at_10,avg_computations,computation_min,computation_max,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,rss_baseline_mb,rss_serving_mb,rss_peak_mb,method_overhead_mb,build_total_s,train_s,threshold,nprobe,selected_part,n_runs,recall_score,compute_efficiency,storage_efficiency,score_sum,recall_weight,compute_weight,storage_weight,plot_x,plot_y
sift,AdaptIVF+PQ-m80,10.0,0.95448,31802.314,2378.0,97356.0,16.64495426271544,31.15846824645996,31.15846824645996,31.15846824645996,12.390625,10.76171875,557.734375,561.1796875,546.97265625,,311.6186655666679,,,,1,0.9587945755901557,0.025618469146616186,0.5055348579282911,1.489947902665063,0.6435087924048647,0.017194204643526494,0.3392970029516087,0.661051399154041,0.5572949617812594
sift,AdaptIVF-m80,10.0,0.95574,31403.022,1706.0,88889.0,68.64887854212648,15.783414840698242,15.783414840698242,15.783414840698242,41.02734375,10.83984375,542.29296875,545.66015625,531.453125,,312.8819524478168,,,,1,0.9600602712204922,0.025944210082711146,0.9979901039932665,1.98399458529647,0.48390266704131635,0.013076754480574493,0.5030205784781091,0.7449719119987672,0.41907200261682276
sift,BLISS,10.0,0.7297399999999999,38662.4617,2548.0,38912.0,19.845276374289643,39.57431602478027,39.57431602478027,39.57431602478027,31.546875,10.7890625,550.78125,550.94140625,539.9921875,,1304.50810595043,,,,1,0.733038674033149,0.02107280716685456,0.3980281505907533,1.1521396317907568,0.6362411758145979,0.018290150417012693,0.3454686737683894,0.6635892616756884,0.5510010211891232
sift,HNSW,,0.9955,3011.6064,3011.6064,3011.6064,46930.27156205728,747.8043441772461,747.8043441772461,747.8043441772461,799.5390625,10.80078125,788.63671875,788.63671875,777.8359375,23.418987659737468,,,10.0,,1,1.0,0.2705289110821387,0.021063921252781337,1.2915928323349202,0.7742378054175297,0.2094537104182291,0.016308484164241084,0.40342738687300594,0.6705096080618937
sift,IVF,,0.8745799999999999,10756.3318,5266.0,18956.0,54114.56105789266,496.4187755584717,496.4187755584717,496.4187755584717,528.8515625,10.79296875,537.64453125,537.64453125,526.8515625,18.524490162730217,,,10.0,,1,0.878533400301356,0.07574390741646701,0.03173065281529014,0.9860079605331131,0.8910003118294826,0.07681875851744029,0.0321809296530771,0.4776810855678184,0.7716289048241883
sift,IVFPQ,,0.54615,10756.3318,5266.0,18956.0,155753.59901983352,23.521355628967285,23.521355628967285,23.521355628967285,66.0859375,10.7890625,80.62890625,80.62890625,69.83984375,20.33576626330614,,,10.0,,1,0.5486187845303867,0.07574390741646701,0.6696761898722624,1.294038881819116,0.4239585009680366,0.05853294555569211,0.5175085534762713,0.7294878039602897,0.3671588319886892
sift,LIRA,10.0,0.9720299999999796,814.7266,100.0,2407.0,457.319065959027,1509.3763542175293,1509.3763542175293,1509.3763542175293,169.39453125,10.796875,1031.7265625,1035.9921875,1020.9296875,,2541.3122820556164,0.7399998903274536,10.1501,1.0,1,0.976423907584108,1.0,0.010435894118934363,1.9868598017030423,0.49144076836582207,0.5033067754165882,0.005252456217589791,0.25097284040050083,0.4256001898601458
gist,AdaptIVF,10.0,0.5679000000000001,19034.864,1226.0,19456.0,19.35019736943604,17.880544662475586,17.880544662475586,17.880544662475586,33.62109375,10.7578125,3716.140625,3719.640625,3705.3828125,,519.5176111925393,,,,1,0.6164785062961355,0.04636839012876582,0.9981473253930453,1.6609942218179468,0.3711503015473492,0.02791604541406287,0.6009336530385879,0.7865088038122625,0.3214255897622592
gist,AdaptIVF+PQ,10.0,0.4775,19097.578,1403.0,19456.0,8.937006971530508,34.008718490600586,34.008718490600586,34.008718490600586,9.3203125,10.76171875,3732.34375,3736.046875,3721.58203125,,519.1304218992591,,,,1,0.5183456361267911,0.046216122274772224,0.524789484095192,1.0893512424967553,0.47582966439617846,0.04242536334639549,0.4817449722574261,0.7196598044555154,0.41208057724131436
gist,AdaptIVF+PQ-m80,10.0,0.6609,103941.797,1147.0,155648.0,5.135837242295331,34.04611015319824,34.04611015319824,34.04611015319824,10.71875,10.31640625,3731.95703125,3735.65625,3721.640625,,514.870352357626,,,,1,0.7174337820234478,0.008491444495615175,0.5242131259962554,1.2501383525153185,0.5738835070373994,0.006792403799571556,0.4193240891630288,0.7062658426817285,0.49699769590729354
gist,AdaptIVF-m80,10.0,0.9212,104804.765,914.0,155648.0,9.275800949804342,17.8474178314209,17.8474178314209,17.8474178314209,27.015625,10.75390625,3715.5859375,3719.11328125,3704.83203125,,518.1243184022605,,,,1,1.0,0.008421525490754166,1.0,2.0084215254907543,0.49790344671577436,0.0041931065684512525,0.49790344671577436,0.7468551700736615,0.43119703348769217
gist,BLISS,10.0,0.8312,35297.806,3640.0,38912.0,13.462082083864871,46.07431602478027,46.07431602478027,46.07431602478027,41.671875,10.76171875,3724.765625,3724.86328125,3714.00390625,,2026.3485632557424,,,,1,0.9023013460703431,0.02500484024417835,0.3873615361283274,1.314667722442849,0.6863341441088494,0.019019893633438895,0.29464596225771167,0.6378130343121364,0.5943828042829133
gist,HNSW,,0.914,3768.53,3768.53,3768.53,8323.012001568513,3921.6324672698975,3921.6324672698975,3921.6324672698975,3971.0390625,10.828125,3962.6875,3962.6875,3951.859375,94.45960934832692,,,10.0,,1,0.9921841076856275,0.23420697194927464,0.004551017460299038,1.2309420970952012,0.8060363765501245,0.1902664410470325,0.003697182402843,0.40671537067790525,0.6980479784667674
