dataset,method,seed,probe_depth,recall_at_10,avg_computations,avg_computations_mode,avg_candidates,avg_candidates_mode,qps,index_overhead_mb,index_overhead_mode,serving_footprint_mb,serving_footprint_mode,index_size_mb,index_size_mode,query_mem_delta_mb,query_mem_delta_mode,train_s,experiment_dir,query_mem_rss_before_mb,query_mem_rss_after_mb,query_mem_peak_rss_mb,query_mem_delta_mb_isolated,query_mem_peak_delta_mb
gist,BLISS-KMeans,0,10,0.7561,35394.315,avg_unique_candidate_vectors_per_query,35394.315,avg_unique_candidate_vectors_per_query,13.584236702037785,46.07431602478027,index_overhead_manifest,46.07431602478027,serving_footprint_manifest,46.07431602478027,index_overhead_manifest,35.171875,isolated_subprocess_rss_delta,2060.956649079919,/data/experiments/git_repos/experiments/adaptivf/gist/20260327-035835-522794_bliss_kmeans_seed0,8508.34765625,8543.51953125,13321.58984375,35.171875,4813.2421875
gist,BLISS-KMeans,0,20,0.8786,71358.328,avg_unique_candidate_vectors_per_query,71358.328,avg_unique_candidate_vectors_per_query,9.70870947220955,46.07431602478027,index_overhead_manifest,46.07431602478027,serving_footprint_manifest,46.07431602478027,index_overhead_manifest,21.6640625,isolated_subprocess_rss_delta,2060.956649079919,/data/experiments/git_repos/experiments/adaptivf/gist/20260327-035835-522794_bliss_kmeans_seed0,8509.1953125,8530.859375,13321.765625,21.6640625,4812.5703125
gist,BLISS-KMeans,0,40,0.9522,142255.048,avg_unique_candidate_vectors_per_query,142255.048,avg_unique_candidate_vectors_per_query,6.825771834322955,46.07431602478027,index_overhead_manifest,46.07431602478027,serving_footprint_manifest,46.07431602478027,index_overhead_manifest,32.96484375,isolated_subprocess_rss_delta,2060.956649079919,/data/experiments/git_repos/experiments/adaptivf/gist/20260327-035835-522794_bliss_kmeans_seed0,8508.03125,8540.99609375,13321.765625,32.96484375,4813.734375
gist,MLP-IVF,0,5,0.6059,17789.475,avg_unique_candidate_vectors_per_query,17789.475,avg_unique_candidate_vectors_per_query,20.875986500003272,46.07431602478027,index_overhead_manifest,46.07431602478027,serving_footprint_manifest,46.07431602478027,index_overhead_manifest,37.61328125,isolated_subprocess_rss_delta,2045.626639187336,/data/experiments/git_repos/experiments/adaptivf/gist/20260327-044927-562548_mlp_ivf_seed0,8515.72265625,8553.3359375,13363.546875,37.61328125,4847.82421875
gist,MLP-IVF,0,10,0.7517999999999999,35844.729,avg_unique_candidate_vectors_per_query,35844.729,avg_unique_candidate_vectors_per_query,13.382088034932353,46.07431602478027,index_overhead_manifest,46.07431602478027,serving_footprint_manifest,46.07431602478027,index_overhead_manifest,38.52734375,isolated_subprocess_rss_delta,2045.626639187336,/data/experiments/git_repos/experiments/adaptivf/gist/20260327-044927-562548_mlp_ivf_seed0,8514.12109375,8552.6484375,13364.26953125,38.52734375,4850.1484375
gist,MLP-IVF,0,20,0.8606,72201.8,avg_unique_candidate_vectors_per_query,72201.8,avg_unique_candidate_vectors_per_query,9.675559886268834,46.07431602478027,index_overhead_manifest,46.07431602478027,serving_footprint_manifest,46.07431602478027,index_overhead_manifest,22.453125,isolated_subprocess_rss_delta,2045.626639187336,/data/experiments/git_repos/experiments/adaptivf/gist/20260327-044927-562548_mlp_ivf_seed0,8516.6953125,8539.1484375,13365.859375,22.453125,4849.1640625
gist,MLP-IVF,0,40,0.932,144117.159,avg_unique_candidate_vectors_per_query,144117.159,avg_unique_candidate_vectors_per_query,6.64211397884661,46.07431602478027,index_overhead_manifest,46.07431602478027,serving_footprint_manifest,46.07431602478027,index_overhead_manifest,22.1171875,isolated_subprocess_rss_delta,2045.626639187336,/data/experiments/git_repos/experiments/adaptivf/gist/20260327-044927-562548_mlp_ivf_seed0,8516.7890625,8538.90625,13366.140625,22.1171875,4849.3515625
glove,BLISS,0,5,0.714,14553.106,avg_unique_candidate_vectors_per_query,14553.106,avg_unique_candidate_vectors_per_query,67.17532010754282,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,11.6796875,isolated_subprocess_rss_delta,1256.0157495252788,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-144721-815228_bliss_seed0,2003.546875,2015.2265625,3155.6875,11.6796875,1152.140625
glove,BLISS,0,10,0.8188000000000001,30015.406,avg_unique_candidate_vectors_per_query,30015.406,avg_unique_candidate_vectors_per_query,50.71958021686466,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,23.46875,isolated_subprocess_rss_delta,1256.0157495252788,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-144721-815228_bliss_seed0,2003.26171875,2026.73046875,3178.5,23.46875,1175.23828125
glove,BLISS,0,20,0.8967999999999999,60439.587,avg_unique_candidate_vectors_per_query,60439.587,avg_unique_candidate_vectors_per_query,29.260888258430192,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,39.09765625,isolated_subprocess_rss_delta,1256.0157495252788,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-144721-815228_bliss_seed0,2002.13671875,2041.234375,3214.96875,39.09765625,1212.83203125
